Oak Compact Joystick - A,,,,,,,,Unit Cost,Total Cost,Total Print time (hr),Total filament (g),,
Version: V0.2,,Last Updated: 2023-05-15,,,,,, $53.72 , $53.72 ,4.80,143.76,,
Commercial Parts,,,,,,,,,,,,,
ID,Part Name,Part Type,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
,TRRS Audio Cable,Electrical,1,1, $7.29 ,1, $7.29 , $7.29 , $7.29 ,https://www.digikey.ca/en/products/detail/tensility-international-corp/10-00341/2350244,,,
,Adafruit Mini Analog Joystick,Electrical,1,1, $31.43 ,1, $31.43 , $31.43 , $31.43 ,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/3102/6152821,,,
,24 AWG Wire,Electrical,1,1, $0.72 ,1, $0.72 , $0.72 , $0.72 ,https://www.digikey.ca/en/products/detail/cnc-tech/3122-24-1-0500-001-1-TS/16396742 ,,,
,"#4 3/8"" screws",Mechanical,4,1, $0.63 ,4, $0.63 , $2.52 , $2.52 ,https://www.digikey.ca/en/products/detail/serpac/6005/307599,,,
,Ziptie,Mechanical,1,1, $0.17 ,1, $0.17 , $0.17 , $0.17 ,https://www.digikey.ca/en/products/detail/3m/CT4NT18-M/2721151,,,
,(Optional for mount) M3 screws and nuts x2,Mechanical,0,340, $22.14 ,0, $0.07 , $-   , $-   ,https://a.co/d/fai6zKP,,,
,(Optional for mount) 1/4-20 tee nut x1,Mechanical,0,100, $15.49 ,0, $0.15 , $-   , $-   ,https://a.co/d/7PBKImx,,,
,Digikey Shipping (<$100 order),Shipping,1,1,$8.00,1, $8.00 , $8.00 , $8.00 ,,,,
,,,,,,, $-   , $-   , $-   ,,,,
3D Printed Parts                           ESTIMATED PRICING USING 1KG ROLL COST:,, $25.00 ,,,,,,,,,,,
ID,Part,Material,QTY,Mass (g) / Unit,Time / Unit,,Print Time (Min),Estimated Price,,Link,,,
,Oak Enclosure Top,PLA,1,35.36,157,,157, $0.88 ,,,,,
,Oak Enclosure Bottom,PLA,1,27.24,131,,131, $0.68 ,,,,,
,(Optional) Joystick Camera Mount,PLA,0,8.5,54,,0, $0.21 ,,,,,
,(Optional) Oak Convex Topper,PLA,0,6.62,30,,0, $0.17 ,,,,,
,(Optional) Oak Concave Topper,PLA,0,8.46,42,,0, $0.21 ,,,,,
,(Optional) Oak Cylindrical Topper,PLA,0,21.73,137,,0, $0.54 ,,,,,
,(Optional) Oak Goalpost Topper,PLA,0,35.85,206,,0, $0.90 ,,,,,
,,,,,,,, $-   ,,,,,
,,,,,,,, $-   ,,,,,
Custom Printed Circuit Board (PCB),,,,,,,,,,,,,
ID,Part,,QTY,,,,,,,,,,
,,,,,,,,,,,,,
Tools for Assembly,,,,,,,,,,,,,
,Soldering Iron,,,,,,,,,,,,
,Solder ,,,,,,,,,,,,
,#3 Philips Screwdriver,,,,,,,,,,,,
,Flush cutters,,,,,,,,,,,,
,Wire strippers,,,,,,,,,,,,
,"(Optional for mount adapter) 1/4-20 screw or hex bolt, at least 1/2"" long ",,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,,,
ID,Part and description,,,,,,,,,Link,,,
,1/4-20 tee nut,Local hardware store,,,,,,,,,,,
,M3 Screws and Nuts,Local hardware store,,,,,,,,,,,
,Wire,Local hardware store,,,,,,,,,,,
,"#4 3/8"" screws",Mechanical,4,100, $7.82 ,1, $0.08 , $0.31 , $7.82 ,https://www.amazon.ca/gp/product/B00GI86MW8,,,
