Oak Compact Joystick - A,,,,,,,,Unit Cost,Total Cost,Total Print time (hr),Total filament (g),,
Version: V0.9,,Last Updated: 2023-06-30,,,,,, $77.51 , $101.51 ,3.87,63.26,,
Commercial Parts,,,,,,,,,,,,,
ID,Part Name,Part Type,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
,TRRS Audio Cable,Electrical,1,1, $7.29 ,1, $7.29 , $7.29 , $7.29 ,https://www.digikey.ca/en/products/detail/tensility-international-corp/10-00341/2350244,,,
,Adafruit Mini Analog Joystick,Electrical,1,1, $31.43 ,1, $31.43 , $31.43 , $31.43 ,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/3102/6152821,,,
,24 AWG Wire,Electrical,1,1, $0.72 ,1, $0.72 , $0.72 , $0.72 ,https://www.digikey.ca/en/products/detail/cnc-tech/3122-24-1-0500-001-1-TS/16396742 ,,,
,"#4 3/8"" screws",Mechanical,4,1, $0.63 ,4, $0.63 , $2.52 , $2.52 ,https://www.digikey.ca/en/products/detail/serpac/6005/307599,,,
,Ziptie,Mechanical,1,1, $0.17 ,1, $0.17 , $0.17 , $0.17 ,https://www.digikey.ca/en/products/detail/3m/CT4NT18-M/2721151,,,
,M3 hex nut x2,Mechanical,2,1, $0.27 ,2, $0.27 , $0.54 , $0.54 ,https://www.digikey.ca/en/products/detail/b-f-fastener-supply/MHNZ-003/274973 ,,,
,(Optional for mount) M3x12mm screw x2,Mechanical,0,1, $1.11 ,0, $1.11 , $-   , $-   ,https://www.digikey.ca/en/products/detail/apm-hexseal/RM3X12MM-2701/2063201 ,,,
,(Optional for mount) 1/4-20 tee nut x1,Mechanical,0,100, $15.49 ,0, $0.15 , $-   , $-   ,https://a.co/d/7PBKImx,,,
,Digikey Shipping (<$100 order),Shipping,1,1,$8.00,1, $8.00 , $8.00 , $8.00 ,,,,
,,,,,,, $-   , $-   , $-   ,,,,
,Enabled Controller Mini (You must build yourself),Interface,1,1, $19.26 ,1, $19.26 , $19.26 , $19.26 ,https://github.com/milador/Enabled-Controller-Mini/tree/main,,,
,Enabled Controller Mini PCB,,1,5,$30.00,1, $6.00 , $6.00 , $30.00 ,,,,
,,,,,,, $-   , $-   , $-   ,,,,
3D Printed Parts                           ESTIMATED PRICING USING 1KG ROLL COST:,, $25.00 ,,,,,,,,,,,
ID,Part,Material,QTY,Mass (g) / Unit,Time / Unit,,Print Time (Min),Estimated Price,,Link,,,
,Oak Enclosure Top,PLA,1,27.52,130,,130, $0.69 ,,,,,
,Oak Enclosure Bottom,PLA,1,27.24,102,,102, $0.68 ,,,,,
,(Optional) Joystick Camera Mount,PLA,0,8.5,54,,0, $0.21 ,,,,,
,(Optional) Topper (+ Collet + Topper Nut),PLA,0,,,,,,,,,,
,,,,,,,, $-   ,,,,,
Custom Printed Circuit Board (PCB),,,,,,,,,,,,,
ID,Part,,QTY,,,,,,,,,,
,,,,,,,,,,,,,
Tools for Assembly,,,,,,,,,,,,,
,Soldering Iron,,,,,,,,,,,,
,Solder ,,,,,,,,,,,,
,#3 Philips Screwdriver,,,,,,,,,,,,
,Flush cutters,,,,,,,,,,,,
,Wire strippers,,,,,,,,,,,,
,"(Optional for mount adapter) 1/4-20 screw or hex bolt, at least 1/2"" long ",,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,,,
ID,Part and description,,,,,,,,,Link,,,
,1/4-20 tee nut,Local hardware store,,,,,,,,,,,
,M3 Screws and Nuts,Local hardware store,,,,,,,,,,,
,Wire,Local hardware store,,,,,,,,,,,
,"#4 3/8"" screws",Mechanical,4,100, $7.82 ,1, $0.08 , $0.31 , $7.82 ,https://www.amazon.ca/gp/product/B00GI86MW8,,,
