Oak Compact Joystick,,,,,,,,Unit Cost,Total Cost,Total Print time (hr),Total filament (g),,
Version: V1.0.2,,Last Updated: 2024-Oct-07,,,,,, $61.12 , $61.12 ,3.87,63.26,,
Commercial Parts,,,,,,,,,,,,,
ID,Part Name,Supplier,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
,TRRS Audio Cable,DigiKey,1,1, $7.29 ,1, $7.29 , $7.29 , $7.29 ,https://www.digikey.ca/en/products/detail/tensility-international-corp/10-00341/2350244,,,
,Adafruit Mini Analog Joystick,DigiKey,1,1, $31.43 ,1, $31.43 , $31.43 , $31.43 ,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/3102/6152821,,,
,"Wire, 26 AWG, 1 ft",DigiKey,1,1, $0.72 ,1, $0.72 , $0.72 , $0.72 ,https://www.digikey.ca/en/products/detail/cnc-tech/1569-26-1-0500-005-1-TS/15853670 ,,,
,"Screw, #4 self-tapping 3/8"" length",DigiKey,4,1, $0.63 ,4, $0.63 , $2.52 , $2.52 ,https://www.digikey.ca/en/products/detail/serpac/6005/307599,,,
,"Cable tie, 4""",DigiKey,1,1, $0.17 ,1, $0.17 , $0.17 , $0.17 ,https://www.digikey.ca/en/products/detail/3m/CT4NT18-M/2721151,,,
,"Hex nut, M3",DigiKey,2,1, $0.27 ,2, $0.27 , $0.54 , $0.54 ,https://www.digikey.ca/en/products/detail/keystone-electronics/4708/4499301,,,
,Digikey Shipping (<$100 order),DigiKey,1,1,$8.00,1, $8.00 , $8.00 , $8.00 ,,,,
,,,,,,, $-   , $-   , $-   ,,,,
,,,,,,,,,,,,,
3D Printed Parts                           ESTIMATED PRICING USING 1KG ROLL COST:,, $30.00 ,,,,,,,,,,,
ID,Part,Material,QTY,Mass (g) / Unit,Time / Unit,,Print Time (Min),Estimated Price,,Link,,,
,Oak Enclosure Top,PLA,1,28,130,,130, $0.83 ,,,,,
,Oak Enclosure Bottom,PLA,1,27,102,,102, $0.82 ,,,,,
,Joystick Camera Mount (Optional),PLA,0,9,54,,0, $0.26 ,,,,,
,Oak Topper Collet (Optional),PLA,1,1,9,,9, $0.03 ,,,,,
,Oak Topper Nut (Optional),PLA,1,4,20,,20, $0.12 ,,,,,
,Oak Topper Wrench (Optional),PLA,1,5,26,,26, $0.15 ,,,,,
,Small_Ball Topper,PLA,0,10,23,,0, $0.30 ,,,,,
,Medium_Ball_Topper,PLA,0,16,30,,0, $0.48 ,,,,,
,Large_Ball_Topper,PLA,0,24,40,,0, $0.72 ,,,,,
,Small_Concave_Topper,PLA,0,9,20,,0, $0.27 ,,,,,
,Medium_Concave_Topper,PLA,0,11,24,,0, $0.33 ,,,,,
,Large_Concave_Topper,PLA,0,13,28,,0, $0.39 ,,,,,
,Small_Convex_Topper,PLA,0,5,12,,0, $0.15 ,,,,,
,Medium_Convex_Topper,PLA,0,7,16,,0, $0.21 ,,,,,
,Large_Convex_Topper,PLA,0,10,21,,0, $0.30 ,,,,,
,Small_Goalpost_Topper,PLA,0,12,31,,0, $0.36 ,,,,,
,Medium_Goalpost_Topper,PLA,0,15,36,,0, $0.45 ,,,,,
,Large_Goalpost_Topper,PLA,0,17,40,,0, $0.51 ,,,,,
,Small_Stick_Topper,PLA,0,29,75,,0, $0.87 ,,,,,
,Medium_Stick_Topper,PLA,0,42,102,,0, $1.26 ,,,,,
,Large_Stick_Topper,PLA,0,55,122,,0, $1.65 ,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,, $-   ,,,,,
Alternatives,,,,,,,,,,,,,
ID,Part and description,,,,,,,,,Link,,,
,M3 hex nuts,Local hardware store,,,,,,,,,,,
,"Wire, 24 or 26 AWG",Local hardware store,,,,,,,,,,,
,"#4 3/8"" screws",Digikey,4,100, $7.82 ,1, $0.08 , $0.31 , $7.82 ,https://www.amazon.ca/gp/product/B00GI86MW8,,,
,"Hex nut, M3",Digikey,2,100, $0.06 ,1, $0.00 , $0.00 , $0.06 ,https://www.digikey.ca/en/products/detail/b-f-fastener-supply/MHNZ-003/274973 ,,,
,JH-D202X-R4 Joystick,Adafruit,,,,,,,,https://www.adafruit.com/product/3102,,,
,JH-D202X-R4 Joystick,Exiron - Amazon,,,,,,,27.22,https://www.amazon.ca/Exiron-Joystick-Potentiometer-JH-D202X-R2-Thermistor/dp/B07CWWM9WF,,,
,JH-D202X-R4 Joystick,Adafruit - Mouser,,,,,,,28.93,https://www.mouser.ca/ProductDetail/Adafruit/3102?qs=sGAEpiMZZMvI685ayE5Sa%252B6OYvEX%252BIsK80Je2NTqTRGE1%2FJP9iAWgw%3D%3D,,,
,JH-D202X-R4 Joystick,Yan's Tools Store - AliExpress,,,,,,,8.2,https://www.aliexpress.com/item/1005003469274285.html,,,
